"","id","shannon_oberkat","shannon_codierung","shannon_vergleich_alkis","anteil_snh","anteil_flower_rich","anteil_wb_wichtig","anteil_wb_wichtig_ohne_dgl","anteil_wb_allg","anteil_wb_alles","anteil_ground_nesting","anteil_stem_nesting","mean_count_per_km2","mean_size_ha_lw"
"1","bv_afs_250",1.49359937515911,2.42808912486098,0.530346074926116,0.0887129372042704,0.716884228546972,0.0600851225717479,0.0600851225717479,0.477114392372257,0.740114606367549,0.00941579285255724,0.00828875098081176,150.293136397499,1.2977037037037
"2","kw_afs_250",2.26364746596117,2.95383249642786,1.86490964260297,0.180635457792818,0.480579056213574,0.137995863884189,0.115623237450649,0.527918781725888,0.558751645046061,0.086497461928934,0.0356984395563076,214.064151072025,0.755277777777778
"3","wi_afs_250",0.994651451923294,1.79110983179816,0.810228713050609,0.0161698741137317,0.102915641730574,0.0179062364346694,0.00401533786716828,0.0698524092027203,0.109209955143973,0.0160070901461438,0.00173274489943568,114.191913785105,1.56605633802817
"4","wt_afs_250",2.09449862081169,2.52171050055475,1.58378103862587,0.202690094853056,0.478204530140466,0.163764059503447,0.0334836469185715,0.451174000932981,0.527471103509045,0.0134686155600477,0.00423987974913181,136.663524976437,1.33921875
"5","bv_ref_250",1.65088015748404,2.4565312180299,0.769151980371737,0.107720195674307,0.742842243798267,0.0810260485212684,0.0810260485212684,0.553624196071615,0.809267214620943,0.016587618882074,0.0142757815797969,146.510813135013,1.35447154471545
"6","kw_ref_250",2.23166058091661,2.97326984648004,1.83857413050494,0.183958257493023,0.458520406099583,0.134732839865712,0.109938114306516,0.522145370707438,0.558629616146908,0.0920600250778627,0.0367997411317397,218.703646210632,0.744764890282132
"7","wi_ref_250",0.994211133315538,1.89293064580838,0.808737740869457,0.0153868485992161,0.100776600377413,0.0176368123094789,0.00453621715778778,0.0681158368413413,0.107599070982726,0.0184751052402381,0.0015967484395413,115.745796025333,1.56219858156028
"8","wt_ref_250",1.74386740186415,1.8392425488734,1.08848940274006,0.490578804913596,0.720487195502811,0.481782219446179,0.0135852592129919,0.782713928794503,0.786253383302103,0,0.00619404538829898,59.938128383604,2.10230769230769
"9","bv_afs_1000",2.2210215786497,3.4859224499725,1.74346779592481,0.250291109442028,0.509854873751758,0.183386346337062,0.129882699277645,0.539890815056029,0.575464136828999,0.0249482052031717,0.0258389244829342,150.293136397499,1.2977037037037
"10","kw_afs_1000",1.76834916258822,2.62948970903789,1.52249089002424,0.0938347400424947,0.268488736544308,0.0844729829668846,0.0662806531513024,0.293442661438952,0.308304083956472,0.0531351614682991,0.0346555225562586,214.064151072025,0.755277777777778
"11","wi_afs_1000",1.74311713856005,2.8101900360869,1.34566116690657,0.15338882966343,0.323397823632012,0.106709270683973,0.0634232825973891,0.317300315219921,0.348736103169153,0.0418788486570827,0.0258101037036186,114.191913785105,1.56605633802817
"12","wt_afs_1000",2.24163974904661,3.23894819202186,1.66246136681804,0.358709812163062,0.417013666801551,0.319568196948139,0.0489498622877208,0.485809761255205,0.5156495973058,0.0190217859520422,0.013789241472934,136.663524976437,1.33921875
"13","bv_ref_1000",2.26522507671964,3.51025913957021,1.81442760095649,0.255321225069396,0.498013768806284,0.187275794685066,0.126905664931657,0.530884803726463,0.567114585125478,0.0243247199118714,0.0247273586334935,146.510813135013,1.35447154471545
"14","kw_ref_1000",1.78183991581762,2.61819274957093,1.54043527476704,0.0889952955479893,0.257133787907372,0.0831798621904,0.0643380976765218,0.28063508604865,0.295799532249902,0.0526158969153049,0.033229122684083,218.703646210632,0.744764890282132
"15","wi_ref_1000",1.73332850131444,2.79236720373573,1.33299690753422,0.153071787174577,0.322585097389714,0.107301209392198,0.0621718452576069,0.318214493153679,0.348535560041176,0.0394823709377821,0.0231210714881332,115.745796025333,1.56219858156028
"16","wt_ref_1000",1.84750170607824,2.93538292396858,1.41936584562636,0.290067211206761,0.38973325224649,0.285461513457969,0.0658769437250317,0.556091474347548,0.566105000471842,0.0190508645185643,0.025004980549643,59.938128383604,2.10230769230769
